iteration,act_repeat,fit_epochs,rollout_score,iter_samples,num_samples,data_collect_time,dyn_loss_0,dyn_loss_gen_0,rew_loss_0,dyn_loss_1,dyn_loss_gen_1,rew_loss_1,dyn_loss_2,dyn_loss_gen_2,rew_loss_2,dyn_loss_3,dyn_loss_gen_3,rew_loss_3,model_update_time,policy_update_time,eval_score,eval_log_time,iter_time
0,1,100,-2814.8052002839922,4000,4000,1.0168015956878662,0.018683191780981264,0.07025445,0.0023653167361197503,0.016592949481779022,0.07248927,0.002751540576450919,0.01940422191431648,0.06952942,0.0019107644421685684,0.01679686035372709,0.070849985,0.002168784843218562,20.564664840698242,22.407140731811523,-2505.073262233499,1.3530099391937256,45.34161710739136
1,,100,-2898.3888513612865,1000,1000,0.25038647651672363,0.008050190634094179,0.0026894272,0.0009659785694869546,0.012138863792642951,0.002617114,0.0008311664544938443,0.007845378500254204,0.0025745693,0.0008425736086792313,0.008511260947367797,0.0025974768,0.0008181517187040299,26.183748722076416,22.232338190078735,-2503.841338040062,1.4345858097076416,50.10105919837952
2,,100,-3090.805587238148,1000,1000,0.2549936771392822,0.00796253391509426,0.025716076,0.0008299585335470479,0.010432579121070689,0.023022776,0.0007150243377666278,0.007136707322607781,0.035453513,0.000677810799218072,0.009451249903389093,0.023529219,0.0008421338701235323,31.304821729660034,21.842639684677124,-2546.4390794660694,1.3844592571258545,54.786914348602295
3,,100,-2857.837869474253,1000,1000,0.28533220291137695,0.007809716961620485,0.002065948,0.0009280805260299102,0.00679832770872642,0.0020581505,0.0006809711836360614,0.010665448574239718,0.0019293774,0.0009184870612122776,0.008789051447392386,0.0019849958,0.0007424248923437999,37.457478284835815,22.402724981307983,-2589.4651553251506,1.4125540256500244,61.5580894947052
4,,100,-2925.455955628556,1000,1000,0.27677345275878906,0.00777634682181554,0.0021539363,0.0007189900721781529,0.008387778002100114,0.0019401966,0.0008458704239903734,0.0065317560011186665,0.002049985,0.0006658189962856853,0.007159690253245525,0.0021506376,0.0007102901716000185,43.88326859474182,23.404815196990967,-2722.955284613127,1.459557056427002,69.02441430091858
5,,100,-2841.174029419239,1000,1000,0.2725036144256592,0.006343153411183845,0.0015086693,0.0008828730629333718,0.006713574180718173,0.0014793935,0.0009660027003106238,0.01172988870265809,0.0014110603,0.0007985378708161244,0.007646613838997754,0.0014655696,0.0007480311297430572,50.011977195739746,24.64605450630188,-2657.3532772412973,1.481297492980957,76.41183280944824
6,,100,-2837.273851072543,1000,1000,0.2654378414154053,0.008774743757533784,0.0014384066,0.0010224972312262623,0.009086944571487149,0.001490893,0.0009243802728169427,0.006476127799144205,0.0015218437,0.0008357303948806864,0.009187639728948777,0.0015547855,0.0009470606443700286,56.763829946517944,22.67855954170227,-2612.4095163080906,1.605468988418579,81.3132963180542
7,,100,-2688.72909490826,1000,1000,0.2765061855316162,0.009232970116165827,0.0033116085,0.0009328088050765195,0.008503085933625698,0.0034347542,0.0009763567501736083,0.007153734897396394,0.003273852,0.0008876921053101518,0.009023429350737406,0.0033222039,0.0009340278089179524,54.23628354072571,22.73009181022644,-2634.772014580901,1.516387939453125,78.75926947593689
8,,100,-2757.6976078709367,1000,1000,0.2743055820465088,0.007945019856323393,0.0021227526,0.000933602852604295,0.00780654868719225,0.0019154076,0.0008933451240502146,0.0066749839758386414,0.0019270536,0.0009202437287633669,0.007447406602073081,0.0019981533,0.0008625700779981455,55.184441804885864,22.623586416244507,-2579.2713779401975,1.5167453289031982,79.59907913208008
9,,100,-2847.7501783850953,1000,1000,0.27271056175231934,0.009366537016645377,0.0017570376,0.0009942582442558237,0.006830418064277999,0.0017344338,0.0007828089933633348,0.007287023322922843,0.0017323389,0.0007772751981677601,0.009341981841669398,0.0016465072,0.0010038513241202704,54.574588775634766,22.902412176132202,-2722.815080790481,1.518157720565796,79.26786923408508
